NAME,DATE OF MIGRATION,X1,D.O.B.,X2,X3,X4,X5,X6,X7,X8,FROM LOCATION,X9,X10,X11,X12,X13,TO,X14,X15,X16,X17,Y
R.Chakavarthy,10-08-2017,52,10-02-1968,0,5.2,52,1,0,0,0,West Godavari District,0,38,5,0,0,Chennai,0,-1,0,1,0
R.G.Prasanna,25-05-2016,45,15-01-1975,1,5.3,50,1,0,0,0,East Godavari District,0,40,7,1,1,Tirupur,0,0,1,0,0
D.sneha,19-02-2000,25,14-09-1995,1,4.9,75,1,0,0,0,Anantapur,1,38,10,1,2,Coimbatore,0,2,2,1,1
D.Raghu chaithyanya,20-09-2001,30,05-09-1990,1,5.2,56,1,0,0,0,Chitoor,1,44,15,1,3,Salem,0,11,3,0,1
G.Pavan,07-12-2015,21,08-10-1999,0,5.6,78,1,0,0,0,Guntur,1,34,5,1,1,Eroad,0,12,2,1,0
M.Prasad,11-09-1998,50,09-11-1970,0,5.8,65,1,0,0,0,Krishna,1,34,4,1,1,Ooty,1,15,4,1,2
N.Sita,14-03-2003,51,06-12-1969,1,6,64,1,0,0,0,Nellore,2,24,2,1,1,Rameshwaram,1,17,4,0,2
P.Meghana,03-03-2005,30,15-10-1990,1,4.8,53,1,0,0,0,Kurnool,2,55,38,1,3,Kodaikanal,1,22,2,1,2
P.yeshwanth,28-10-1997,34,19-09-1986,0,5.2,49,1,0,0,0,Prakasam,2,54,40,0,4,Kumbakonam,1,33,1,0,0
K.Subbarayudu,19-09-2001,65,14-03-1955,0,5.3,58,1,0,0,0,Kadapa,1,21,38,0,4,Thiruvarur,0,12,1,1,1
K.Padma ,26/10/0214,52,15-12-1968,1,4.9,53,0,0,0,0,Srikakulam,0,26,40,0,1,Thirunelveli,0,22,2,0,1
S.Aryan,29-10-1998,36,29-10-1984,0,5.2,59,1,0,0,0,Vizianagaram,2,40,32,1,1,Velankanni,1,18,3,1,1
K.Ram ,12-12-2008,28,05-11-1992,0,5.6,67,1,0,0,0,Vishakapatnam,0,44,32,1,1,Vellore,0,14,4,0,1
G.Charan,24-01-2007,36,30-12-1984,0,5.8,60,1,0,0,0,Adilabad,1,33,33,1,1,Thoothukudi,0,22,0,1,1
T.Anjali,31-12-2001,56,05-11-1964,1,6,62,0,0,0,0,Hyderabad,0,21,31,1,5,Thiruvannamalai,0,22,1,0,1
J.Leela,15-09-2005,24,08-12-1996,1,5.8,48,0,0,1,0,Khammam,2,12,31,0,0,Pudukkottai,0,26,2,1,0
L.vani,19-09-2009,19,27-06-2001,1,5,58,1,1,1,1,Mehboobnagar,1,45,3,1,0,Sivagangai,1,6,3,0,0
C.Vamsi,06-11-2010,20,30-11-2000,0,5.4,50,1,1,1,1,Medak,1,23,2,1,4,Madurai,0,3,0,0,0
U.Geetha,12-11-2019,25,10-10-1995,1,6,60,1,0,0,0,Suryapeta,1,45,1,0,2,Namakkal,1,4,4,0,0
B.Kishore,20-12-2009,63,19-05-1957,0,4.8,69,0,0,0,0,Vikarabad,1,23,20,0,2,Nagapattnam,1,9,1,0,0
A.Nagamani,10-08-2017,45,12-07-1975,1,5.9,70,0,1,1,1,Araria,1,24,18,0,5,Thanjavur,0,0,2,1,0
R.Raju,25-05-2016,29,16-09-1991,0,5.8,64,1,0,0,0,Banka,0,56,11,1,5,Coimbatore,0,2,3,1,0
S.Chandarao,19-02-2000,50,30-09-1970,0,4.7,79,0,1,1,1,Arwal,0,23,18,1,2,Salem,0,1,4,1,2
H.Nithin,20-09-2001,34,25-10-1986,0,4.8,75,0,1,0,1,Buxar,0,32,19,1,2,Tirupur,0,2,0,0,2
D.Vijay,07-12-2015,32,30-07-1988,0,5.2,58,0,0,0,0,Bhojpur,0,23,17,1,2,Coimbatore,0,22,1,0,2
K.Sowmya,11-09-1998,72,29-10-1948,1,5.3,67,0,0,0,0,Gaya,0,23,16,1,2,Salem,0,33,2,0,2
B.Praneetha,14-03-2003,65,13-05-1955,1,4.9,76,0,1,1,1,Kaimur,0,12,15,1,1,Eroad,0,44,2,0,2
K.Priya,31-12-2001,45,14-05-1975,1,5.2,48,0,0,1,0,Mumba,2,1,14,1,1,Ooty,1,18,1,0,2
T.Shiva,15-09-2005,25,15-04-1995,0,5.6,58,0,1,1,1,Thane,2,-15,13,1,1,Rameshwaram,1,21,2,1,0
K.Swathi,07-12-2015,36,29-01-1984,1,5.8,67,0,1,0,1,Nagpur,2,1,12,1,1,Kodaikanal,1,22,2,0,1
B.Prema,11-09-1998,45,09-02-1975,1,6,60,0,0,0,0,Nashik,2,0,14,0,1,Kumbakonam,1,44,3,1,1
T.naveen,11-09-1998,39,06-11-1981,0,5.8,50,1,0,1,0,Raigad,2,4,16,0,1,Thiruvarur,0,34,3,0,0
S.Surya,29-10-1998,40,25-11-1980,0,5,58,0,1,0,1,Pune,2,5,22,0,1,Thirunelveli,0,32,4,1,0
V.Ravi,12-12-2008,50,05-09-1970,0,5.4,69,0,1,1,1,Solapur,1,2,21,1,1,Velankanni,1,32,4,1,0
G.chandra,24-01-2007,20,14-08-2000,0,6,70,0,1,0,1,Satara,1,1,23,1,2,Vellore,0,33,4,0,0
D.Radha,31-12-2001,28,04-12-1992,1,4.8,73,0,0,1,0,Vizianagaram,1,2,26,1,1,Thoothukudi,0,3,4,1,0
